[2024-12-05T20:29:16.175+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:29:16.198+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:11.555532+00:00 [queued]>
[2024-12-05T20:29:16.212+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:11.555532+00:00 [queued]>
[2024-12-05T20:29:16.213+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T20:29:16.237+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-05 20:29:11.555532+00:00
[2024-12-05T20:29:16.253+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3109) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-05T20:29:16.255+0000] {standard_task_runner.py:72} INFO - Started process 3118 to run task
[2024-12-05T20:29:16.254+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl', 'etl_dim_aisle', 'manual__2024-12-05T20:29:11.555532+00:00', '--job-id', '595', '--raw', '--subdir', 'DAGS_FOLDER/test_dag.py', '--cfg-path', '/tmp/tmp430d2q_b']
[2024-12-05T20:29:16.257+0000] {standard_task_runner.py:105} INFO - Job 595: Subtask etl_dim_aisle
[2024-12-05T20:29:16.314+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:11.555532+00:00 [running]> on host d8dedb74dbcd
[2024-12-05T20:29:16.441+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T20:29:11.555532+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T20:29:11.555532+00:00'
[2024-12-05T20:29:16.442+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:29:16.478+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-05T20:29:16.673+0000] {logging_mixin.py:190} INFO - Initial DataFrame from /opt/***/data/aisles.csv/aisles.csv:
   aisle_id                       aisle
0         1       prepared soups salads
1         2           specialty cheeses
2         3         energy granola bars
3         4               instant foods
4         5  marinades meat preparation
[2024-12-05T20:29:16.675+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-05T20:29:16.696+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-05T20:29:16.701+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=3, Name=energy granola bars, FK Values={}
[2024-12-05T20:29:16.706+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=4, Name=instant foods, FK Values={}
[2024-12-05T20:29:16.709+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-05T20:29:16.713+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=6, Name=other, FK Values={}
[2024-12-05T20:29:16.718+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=7, Name=packaged meat, FK Values={}
[2024-12-05T20:29:16.721+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=8, Name=bakery desserts, FK Values={}
[2024-12-05T20:29:16.725+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=9, Name=pasta sauce, FK Values={}
[2024-12-05T20:29:16.729+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-05T20:29:16.736+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-05T20:29:16.740+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=12, Name=fresh pasta, FK Values={}
[2024-12-05T20:29:16.743+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=13, Name=prepared meals, FK Values={}
[2024-12-05T20:29:16.747+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-05T20:29:16.752+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=15, Name=packaged seafood, FK Values={}
[2024-12-05T20:29:16.756+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=16, Name=fresh herbs, FK Values={}
[2024-12-05T20:29:16.759+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=17, Name=baking ingredients, FK Values={}
[2024-12-05T20:29:16.764+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-05T20:29:16.770+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=19, Name=oils vinegars, FK Values={}
[2024-12-05T20:29:16.773+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=20, Name=oral hygiene, FK Values={}
[2024-12-05T20:29:16.778+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=21, Name=packaged cheese, FK Values={}
[2024-12-05T20:29:16.784+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=22, Name=hair care, FK Values={}
[2024-12-05T20:29:16.789+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=23, Name=popcorn jerky, FK Values={}
[2024-12-05T20:29:16.794+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=24, Name=fresh fruits, FK Values={}
[2024-12-05T20:29:16.798+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=25, Name=soap, FK Values={}
[2024-12-05T20:29:16.805+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=26, Name=coffee, FK Values={}
[2024-12-05T20:29:16.811+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=27, Name=beers coolers, FK Values={}
[2024-12-05T20:29:16.815+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=28, Name=red wines, FK Values={}
[2024-12-05T20:29:16.820+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=29, Name=honeys syrups nectars, FK Values={}
[2024-12-05T20:29:16.824+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=30, Name=latino foods, FK Values={}
[2024-12-05T20:29:16.828+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=31, Name=refrigerated, FK Values={}
[2024-12-05T20:29:16.834+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=32, Name=packaged produce, FK Values={}
[2024-12-05T20:29:16.839+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=33, Name=kosher foods, FK Values={}
[2024-12-05T20:29:16.843+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=34, Name=frozen meat seafood, FK Values={}
[2024-12-05T20:29:16.847+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=35, Name=poultry counter, FK Values={}
[2024-12-05T20:29:16.853+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=36, Name=butter, FK Values={}
[2024-12-05T20:29:16.856+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=37, Name=ice cream ice, FK Values={}
[2024-12-05T20:29:16.860+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=38, Name=frozen meals, FK Values={}
[2024-12-05T20:29:16.864+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=39, Name=seafood counter, FK Values={}
[2024-12-05T20:29:16.869+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=40, Name=dog food care, FK Values={}
[2024-12-05T20:29:16.872+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=41, Name=cat food care, FK Values={}
[2024-12-05T20:29:16.876+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=42, Name=frozen vegan vegetarian, FK Values={}
[2024-12-05T20:29:16.880+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=43, Name=buns rolls, FK Values={}
[2024-12-05T20:29:16.886+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=44, Name=eye ear care, FK Values={}
[2024-12-05T20:29:16.890+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=45, Name=candy chocolate, FK Values={}
[2024-12-05T20:29:16.894+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=46, Name=mint gum, FK Values={}
[2024-12-05T20:29:16.898+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=47, Name=vitamins supplements, FK Values={}
[2024-12-05T20:29:16.903+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=48, Name=breakfast bars pastries, FK Values={}
[2024-12-05T20:29:16.907+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=49, Name=packaged poultry, FK Values={}
[2024-12-05T20:29:16.912+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=50, Name=fruit vegetable snacks, FK Values={}
[2024-12-05T20:29:16.917+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=51, Name=preserved dips spreads, FK Values={}
[2024-12-05T20:29:16.922+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=52, Name=frozen breakfast, FK Values={}
[2024-12-05T20:29:16.925+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=53, Name=cream, FK Values={}
[2024-12-05T20:29:16.929+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=54, Name=paper goods, FK Values={}
[2024-12-05T20:29:16.935+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=55, Name=shave needs, FK Values={}
[2024-12-05T20:29:16.941+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=56, Name=diapers wipes, FK Values={}
