[2024-12-05T20:29:52.862+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:29:52.886+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:50.164514+00:00 [queued]>
[2024-12-05T20:29:52.900+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:50.164514+00:00 [queued]>
[2024-12-05T20:29:52.901+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T20:29:52.932+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-05 20:29:50.164514+00:00
[2024-12-05T20:29:52.953+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3151) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-05T20:29:52.957+0000] {standard_task_runner.py:72} INFO - Started process 3154 to run task
[2024-12-05T20:29:52.956+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl', 'etl_dim_aisle', 'manual__2024-12-05T20:29:50.164514+00:00', '--job-id', '598', '--raw', '--subdir', 'DAGS_FOLDER/test_dag.py', '--cfg-path', '/tmp/tmpu6vx4qee']
[2024-12-05T20:29:52.959+0000] {standard_task_runner.py:105} INFO - Job 598: Subtask etl_dim_aisle
[2024-12-05T20:29:53.031+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl.etl_dim_aisle manual__2024-12-05T20:29:50.164514+00:00 [running]> on host d8dedb74dbcd
[2024-12-05T20:29:53.232+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T20:29:50.164514+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T20:29:50.164514+00:00'
[2024-12-05T20:29:53.243+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T20:29:54.593+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-05T20:29:55.562+0000] {logging_mixin.py:190} INFO - Initial DataFrame from /opt/***/data/aisles.csv/aisles.csv:
   aisle_id                       aisle
0         1       prepared soups salads
1         2           specialty cheeses
2         3         energy granola bars
3         4               instant foods
4         5  marinades meat preparation
[2024-12-05T20:29:55.565+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-05T20:29:55.610+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-05T20:29:55.615+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=3, Name=energy granola bars, FK Values={}
[2024-12-05T20:29:55.623+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=4, Name=instant foods, FK Values={}
[2024-12-05T20:29:55.632+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-05T20:29:55.642+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=6, Name=other, FK Values={}
[2024-12-05T20:29:55.649+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=7, Name=packaged meat, FK Values={}
[2024-12-05T20:29:55.656+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=8, Name=bakery desserts, FK Values={}
[2024-12-05T20:29:55.664+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=9, Name=pasta sauce, FK Values={}
[2024-12-05T20:29:55.673+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-05T20:29:55.681+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-05T20:29:55.689+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=12, Name=fresh pasta, FK Values={}
[2024-12-05T20:29:55.697+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=13, Name=prepared meals, FK Values={}
[2024-12-05T20:29:55.702+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-05T20:29:55.716+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=15, Name=packaged seafood, FK Values={}
[2024-12-05T20:29:55.724+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=16, Name=fresh herbs, FK Values={}
[2024-12-05T20:29:55.730+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=17, Name=baking ingredients, FK Values={}
[2024-12-05T20:29:55.738+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-05T20:29:55.746+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=19, Name=oils vinegars, FK Values={}
[2024-12-05T20:29:55.752+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=20, Name=oral hygiene, FK Values={}
[2024-12-05T20:29:55.762+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=21, Name=packaged cheese, FK Values={}
[2024-12-05T20:29:55.769+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=22, Name=hair care, FK Values={}
