[2024-12-19T06:52:07.312+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-19T06:52:07.339+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_order_products manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:52:07.354+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_order_products manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:52:07.355+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-19T06:52:07.375+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_order_products> on 2024-12-19 06:43:25.324539+00:00
[2024-12-19T06:52:07.397+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1679) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-19T06:52:07.407+0000] {standard_task_runner.py:72} INFO - Started process 1681 to run task
[2024-12-19T06:52:07.408+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl', 'etl_dim_order_products', 'manual__2024-12-19T06:43:25.324539+00:00', '--job-id', '134', '--raw', '--subdir', 'DAGS_FOLDER/instacart_etl_dag.py', '--cfg-path', '/tmp/tmp35v9pak7']
[2024-12-19T06:52:07.423+0000] {standard_task_runner.py:105} INFO - Job 134: Subtask etl_dim_order_products
[2024-12-19T06:52:07.561+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl.etl_dim_order_products manual__2024-12-19T06:43:25.324539+00:00 [running]> on host 4388517a8e9b
[2024-12-19T06:52:07.802+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl' AIRFLOW_CTX_TASK_ID='etl_dim_order_products' AIRFLOW_CTX_EXECUTION_DATE='2024-12-19T06:43:25.324539+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-19T06:43:25.324539+00:00'
[2024-12-19T06:52:07.805+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-19T06:52:08.475+0000] {logging_mixin.py:190} INFO - 
Loaded dataset with 524286 rows.
[2024-12-19T06:58:52.411+0000] {logging_mixin.py:190} INFO - Batch 1: 1000 rows inserted
[2024-12-19T06:58:52.560+0000] {logging_mixin.py:190} INFO - Batch 2: 1000 rows inserted
[2024-12-19T06:58:52.702+0000] {logging_mixin.py:190} INFO - Batch 3: 1000 rows inserted
[2024-12-19T06:58:52.857+0000] {logging_mixin.py:190} INFO - Batch 4: 1000 rows inserted
[2024-12-19T06:58:53.006+0000] {logging_mixin.py:190} INFO - Batch 5: 1000 rows inserted
[2024-12-19T06:58:53.202+0000] {logging_mixin.py:190} INFO - Batch 6: 1000 rows inserted
[2024-12-19T06:58:53.316+0000] {logging_mixin.py:190} INFO - Batch 7: 1000 rows inserted
[2024-12-19T06:58:53.424+0000] {logging_mixin.py:190} INFO - Batch 8: 1000 rows inserted
[2024-12-19T06:58:53.553+0000] {logging_mixin.py:190} INFO - Batch 9: 1000 rows inserted
[2024-12-19T06:58:53.669+0000] {logging_mixin.py:190} INFO - Batch 10: 1000 rows inserted
[2024-12-19T06:58:53.770+0000] {logging_mixin.py:190} INFO - Batch 11: 1000 rows inserted
[2024-12-19T06:58:53.874+0000] {logging_mixin.py:190} INFO - Batch 12: 1000 rows inserted
[2024-12-19T06:58:53.982+0000] {logging_mixin.py:190} INFO - Batch 13: 1000 rows inserted
[2024-12-19T06:58:54.082+0000] {logging_mixin.py:190} INFO - Batch 14: 1000 rows inserted
[2024-12-19T06:58:54.186+0000] {logging_mixin.py:190} INFO - Batch 15: 1000 rows inserted
[2024-12-19T06:58:54.293+0000] {logging_mixin.py:190} INFO - Batch 16: 1000 rows inserted
[2024-12-19T06:58:54.408+0000] {logging_mixin.py:190} INFO - Batch 17: 1000 rows inserted
[2024-12-19T06:58:54.520+0000] {logging_mixin.py:190} INFO - Batch 18: 1000 rows inserted
[2024-12-19T06:58:54.641+0000] {logging_mixin.py:190} INFO - Batch 19: 1000 rows inserted
[2024-12-19T06:58:54.757+0000] {logging_mixin.py:190} INFO - Batch 20: 1000 rows inserted
[2024-12-19T06:58:54.877+0000] {logging_mixin.py:190} INFO - Batch 21: 1000 rows inserted
[2024-12-19T06:58:54.976+0000] {logging_mixin.py:190} INFO - Batch 22: 1000 rows inserted
[2024-12-19T06:58:55.081+0000] {logging_mixin.py:190} INFO - Batch 23: 1000 rows inserted
[2024-12-19T06:58:55.187+0000] {logging_mixin.py:190} INFO - Batch 24: 1000 rows inserted
[2024-12-19T06:58:55.301+0000] {logging_mixin.py:190} INFO - Batch 25: 1000 rows inserted
[2024-12-19T06:58:55.412+0000] {logging_mixin.py:190} INFO - Batch 26: 1000 rows inserted
[2024-12-19T06:58:55.516+0000] {logging_mixin.py:190} INFO - Batch 27: 1000 rows inserted
[2024-12-19T06:58:55.632+0000] {logging_mixin.py:190} INFO - Batch 28: 1000 rows inserted
[2024-12-19T06:58:55.777+0000] {logging_mixin.py:190} INFO - Batch 29: 1000 rows inserted
[2024-12-19T06:58:55.905+0000] {logging_mixin.py:190} INFO - Batch 30: 1000 rows inserted
[2024-12-19T06:58:56.027+0000] {logging_mixin.py:190} INFO - Batch 31: 1000 rows inserted
[2024-12-19T06:58:56.154+0000] {logging_mixin.py:190} INFO - Batch 32: 1000 rows inserted
[2024-12-19T06:58:56.254+0000] {logging_mixin.py:190} INFO - Batch 33: 1000 rows inserted
[2024-12-19T06:58:56.372+0000] {logging_mixin.py:190} INFO - Batch 34: 1000 rows inserted
[2024-12-19T06:58:56.473+0000] {logging_mixin.py:190} INFO - Batch 35: 1000 rows inserted
[2024-12-19T06:58:56.582+0000] {logging_mixin.py:190} INFO - Batch 36: 1000 rows inserted
[2024-12-19T06:58:56.678+0000] {logging_mixin.py:190} INFO - Batch 37: 1000 rows inserted
[2024-12-19T06:58:56.785+0000] {logging_mixin.py:190} INFO - Batch 38: 1000 rows inserted
[2024-12-19T06:58:56.886+0000] {logging_mixin.py:190} INFO - Batch 39: 1000 rows inserted
