[2024-12-19T06:44:17.450+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-19T06:44:17.476+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_orders manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:44:17.491+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_orders manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:44:17.493+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-19T06:44:17.521+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_orders> on 2024-12-19 06:43:25.324539+00:00
[2024-12-19T06:44:17.546+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1312) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-19T06:44:17.551+0000] {standard_task_runner.py:72} INFO - Started process 1320 to run task
[2024-12-19T06:44:17.546+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl', 'etl_dim_orders', 'manual__2024-12-19T06:43:25.324539+00:00', '--job-id', '133', '--raw', '--subdir', 'DAGS_FOLDER/instacart_etl_dag.py', '--cfg-path', '/tmp/tmp4j20wyjj']
[2024-12-19T06:44:17.554+0000] {standard_task_runner.py:105} INFO - Job 133: Subtask etl_dim_orders
[2024-12-19T06:44:17.633+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl.etl_dim_orders manual__2024-12-19T06:43:25.324539+00:00 [running]> on host 4388517a8e9b
[2024-12-19T06:44:17.767+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl' AIRFLOW_CTX_TASK_ID='etl_dim_orders' AIRFLOW_CTX_EXECUTION_DATE='2024-12-19T06:43:25.324539+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-19T06:43:25.324539+00:00'
[2024-12-19T06:44:17.769+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-19T06:51:19.905+0000] {logging_mixin.py:190} INFO - Batch 1: 1000 rows inserted
[2024-12-19T06:51:20.174+0000] {logging_mixin.py:190} INFO - Batch 2: 1000 rows inserted
[2024-12-19T06:51:20.319+0000] {logging_mixin.py:190} INFO - Batch 3: 1000 rows inserted
[2024-12-19T06:51:20.401+0000] {logging_mixin.py:190} INFO - Batch 4: 1000 rows inserted
[2024-12-19T06:51:20.497+0000] {logging_mixin.py:190} INFO - Batch 5: 1000 rows inserted
[2024-12-19T06:51:20.593+0000] {logging_mixin.py:190} INFO - Batch 6: 1000 rows inserted
[2024-12-19T06:51:20.663+0000] {logging_mixin.py:190} INFO - Batch 7: 1000 rows inserted
[2024-12-19T06:51:20.740+0000] {logging_mixin.py:190} INFO - Batch 8: 1000 rows inserted
[2024-12-19T06:51:20.815+0000] {logging_mixin.py:190} INFO - Batch 9: 1000 rows inserted
[2024-12-19T06:51:20.899+0000] {logging_mixin.py:190} INFO - Batch 10: 1000 rows inserted
[2024-12-19T06:51:20.992+0000] {logging_mixin.py:190} INFO - Batch 11: 1000 rows inserted
[2024-12-19T06:51:21.064+0000] {logging_mixin.py:190} INFO - Batch 12: 1000 rows inserted
[2024-12-19T06:51:21.142+0000] {logging_mixin.py:190} INFO - Batch 13: 1000 rows inserted
[2024-12-19T06:51:21.212+0000] {logging_mixin.py:190} INFO - Batch 14: 1000 rows inserted
[2024-12-19T06:51:21.294+0000] {logging_mixin.py:190} INFO - Batch 15: 1000 rows inserted
[2024-12-19T06:51:21.384+0000] {logging_mixin.py:190} INFO - Batch 16: 1000 rows inserted
[2024-12-19T06:51:21.464+0000] {logging_mixin.py:190} INFO - Batch 17: 1000 rows inserted
[2024-12-19T06:51:21.566+0000] {logging_mixin.py:190} INFO - Batch 18: 1000 rows inserted
[2024-12-19T06:51:21.675+0000] {logging_mixin.py:190} INFO - Batch 19: 1000 rows inserted
[2024-12-19T06:51:21.777+0000] {logging_mixin.py:190} INFO - Batch 20: 1000 rows inserted
[2024-12-19T06:51:21.888+0000] {logging_mixin.py:190} INFO - Batch 21: 1000 rows inserted
[2024-12-19T06:51:21.991+0000] {logging_mixin.py:190} INFO - Batch 22: 1000 rows inserted
[2024-12-19T06:51:22.078+0000] {logging_mixin.py:190} INFO - Batch 23: 1000 rows inserted
[2024-12-19T06:51:22.196+0000] {logging_mixin.py:190} INFO - Batch 24: 1000 rows inserted
[2024-12-19T06:51:22.302+0000] {logging_mixin.py:190} INFO - Batch 25: 1000 rows inserted
[2024-12-19T06:51:22.825+0000] {logging_mixin.py:190} INFO - Batch 26: 1000 rows inserted
[2024-12-19T06:51:23.246+0000] {logging_mixin.py:190} INFO - Batch 27: 1000 rows inserted
[2024-12-19T06:51:23.537+0000] {logging_mixin.py:190} INFO - Batch 28: 1000 rows inserted
[2024-12-19T06:51:23.661+0000] {logging_mixin.py:190} INFO - Batch 29: 1000 rows inserted
[2024-12-19T06:51:23.778+0000] {logging_mixin.py:190} INFO - Batch 30: 1000 rows inserted
[2024-12-19T06:51:23.873+0000] {logging_mixin.py:190} INFO - Batch 31: 1000 rows inserted
[2024-12-19T06:51:23.952+0000] {logging_mixin.py:190} INFO - Batch 32: 1000 rows inserted
[2024-12-19T06:51:24.052+0000] {logging_mixin.py:190} INFO - Batch 33: 1000 rows inserted
[2024-12-19T06:51:24.148+0000] {logging_mixin.py:190} INFO - Batch 34: 1000 rows inserted
[2024-12-19T06:51:24.235+0000] {logging_mixin.py:190} INFO - Batch 35: 1000 rows inserted
[2024-12-19T06:51:24.322+0000] {logging_mixin.py:190} INFO - Batch 36: 1000 rows inserted
[2024-12-19T06:51:24.414+0000] {logging_mixin.py:190} INFO - Batch 37: 1000 rows inserted
[2024-12-19T06:51:24.532+0000] {logging_mixin.py:190} INFO - Batch 38: 1000 rows inserted
[2024-12-19T06:51:24.626+0000] {logging_mixin.py:190} INFO - Batch 39: 1000 rows inserted
[2024-12-19T06:51:24.726+0000] {logging_mixin.py:190} INFO - Batch 40: 1000 rows inserted
[2024-12-19T06:51:24.822+0000] {logging_mixin.py:190} INFO - Batch 41: 1000 rows inserted
[2024-12-19T06:51:24.907+0000] {logging_mixin.py:190} INFO - Batch 42: 1000 rows inserted
[2024-12-19T06:51:24.990+0000] {logging_mixin.py:190} INFO - Batch 43: 1000 rows inserted
[2024-12-19T06:51:25.079+0000] {logging_mixin.py:190} INFO - Batch 44: 1000 rows inserted
[2024-12-19T06:51:25.161+0000] {logging_mixin.py:190} INFO - Batch 45: 1000 rows inserted
[2024-12-19T06:51:25.242+0000] {logging_mixin.py:190} INFO - Batch 46: 1000 rows inserted
[2024-12-19T06:51:25.339+0000] {logging_mixin.py:190} INFO - Batch 47: 1000 rows inserted
[2024-12-19T06:51:25.445+0000] {logging_mixin.py:190} INFO - Batch 48: 1000 rows inserted
[2024-12-19T06:51:25.528+0000] {logging_mixin.py:190} INFO - Batch 49: 1000 rows inserted
[2024-12-19T06:51:25.610+0000] {logging_mixin.py:190} INFO - Batch 50: 1000 rows inserted
[2024-12-19T06:51:25.698+0000] {logging_mixin.py:190} INFO - Batch 51: 1000 rows inserted
[2024-12-19T06:51:25.777+0000] {logging_mixin.py:190} INFO - Batch 52: 1000 rows inserted
[2024-12-19T06:51:25.851+0000] {logging_mixin.py:190} INFO - Batch 53: 1000 rows inserted
[2024-12-19T06:51:25.931+0000] {logging_mixin.py:190} INFO - Batch 54: 1000 rows inserted
