[2024-12-04T15:01:55.814+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-04T15:01:55.837+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-04T15:01:47.992694+00:00 [queued]>
[2024-12-04T15:01:55.851+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-04T15:01:47.992694+00:00 [queued]>
[2024-12-04T15:01:55.853+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-04T15:01:55.878+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-04 15:01:47.992694+00:00
[2024-12-04T15:01:55.911+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=11055) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-04T15:01:55.913+0000] {standard_task_runner.py:72} INFO - Started process 11060 to run task
[2024-12-04T15:01:55.911+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl_pipeline', 'etl_dim_aisle', 'manual__2024-12-04T15:01:47.992694+00:00', '--job-id', '208', '--raw', '--subdir', 'DAGS_FOLDER/instacart_etl_dag.py', '--cfg-path', '/tmp/tmp2mn2c6e5']
[2024-12-04T15:01:55.915+0000] {standard_task_runner.py:105} INFO - Job 208: Subtask etl_dim_aisle
[2024-12-04T15:01:56.016+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-04T15:01:47.992694+00:00 [running]> on host e64be71b3b6d
[2024-12-04T15:01:56.158+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl_pipeline' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-04T15:01:47.992694+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-04T15:01:47.992694+00:00'
[2024-12-04T15:01:56.161+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-04T15:01:56.224+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-04T15:01:56.482+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [1, 'prepared soups salads', datetime.datetime(2024, 12, 4, 15, 1, 56, 482751), None, 1]
[2024-12-04T15:01:56.554+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [2, 'specialty cheeses', datetime.datetime(2024, 12, 4, 15, 1, 56, 554551), None, 1]
[2024-12-04T15:01:56.561+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [3, 'energy granola bars', datetime.datetime(2024, 12, 4, 15, 1, 56, 561160), None, 1]
[2024-12-04T15:01:56.565+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [4, 'instant foods', datetime.datetime(2024, 12, 4, 15, 1, 56, 565863), None, 1]
[2024-12-04T15:01:56.572+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [5, 'marinades meat preparation', datetime.datetime(2024, 12, 4, 15, 1, 56, 571923), None, 1]
[2024-12-04T15:01:56.578+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [6, 'other', datetime.datetime(2024, 12, 4, 15, 1, 56, 578669), None, 1]
[2024-12-04T15:01:56.582+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [7, 'packaged meat', datetime.datetime(2024, 12, 4, 15, 1, 56, 582650), None, 1]
[2024-12-04T15:01:56.586+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [8, 'bakery desserts', datetime.datetime(2024, 12, 4, 15, 1, 56, 586237), None, 1]
[2024-12-04T15:01:56.592+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [9, 'pasta sauce', datetime.datetime(2024, 12, 4, 15, 1, 56, 592221), None, 1]
[2024-12-04T15:01:56.596+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [10, 'kitchen supplies', datetime.datetime(2024, 12, 4, 15, 1, 56, 596492), None, 1]
[2024-12-04T15:01:56.600+0000] {logging_mixin.py:190} INFO - Inserting into dim_aisle: Columns: ['aisle_id', 'aisle', 'valid_from', 'valid_to', 'is_current'] Values: [11, 'cold flu allergy', datetime.datetime(2024, 12, 4, 15, 1, 56, 600338), None, 1]
