[2024-12-05T01:26:00.523+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T01:26:00.538+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:25:58.578434+00:00 [queued]>
[2024-12-05T01:26:00.548+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:25:58.578434+00:00 [queued]>
[2024-12-05T01:26:00.549+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T01:26:00.566+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-05 01:25:58.578434+00:00
[2024-12-05T01:26:00.575+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2874) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-05T01:26:00.577+0000] {standard_task_runner.py:72} INFO - Started process 2878 to run task
[2024-12-05T01:26:00.576+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl_pipeline', 'etl_dim_aisle', 'manual__2024-12-05T01:25:58.578434+00:00', '--job-id', '346', '--raw', '--subdir', 'DAGS_FOLDER/instacart_etl_dag.py', '--cfg-path', '/tmp/tmp0mjyynq6']
[2024-12-05T01:26:00.579+0000] {standard_task_runner.py:105} INFO - Job 346: Subtask etl_dim_aisle
[2024-12-05T01:26:00.630+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:25:58.578434+00:00 [running]> on host f9e7195a95b4
[2024-12-05T01:26:00.721+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl_pipeline' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T01:25:58.578434+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T01:25:58.578434+00:00'
[2024-12-05T01:26:00.724+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T01:26:00.760+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-05T01:26:00.841+0000] {logging_mixin.py:190} INFO - Initial DataFrame from /opt/***/data/aisles.csv/aisles.csv:
   aisle_id                       aisle
0         1       prepared soups salads
1         2           specialty cheeses
2         3         energy granola bars
3         4               instant foods
4         5  marinades meat preparation
[2024-12-05T01:26:00.842+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-05T01:26:00.847+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-05T01:26:00.850+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=3, Name=energy granola bars, FK Values={}
[2024-12-05T01:26:00.853+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=4, Name=instant foods, FK Values={}
[2024-12-05T01:26:00.857+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-05T01:26:00.860+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=6, Name=other, FK Values={}
[2024-12-05T01:26:00.862+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=7, Name=packaged meat, FK Values={}
[2024-12-05T01:26:00.864+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=8, Name=bakery desserts, FK Values={}
[2024-12-05T01:26:00.866+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=9, Name=pasta sauce, FK Values={}
[2024-12-05T01:26:00.868+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-05T01:26:00.870+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-05T01:26:00.874+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=12, Name=fresh pasta, FK Values={}
[2024-12-05T01:26:00.877+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=13, Name=prepared meals, FK Values={}
[2024-12-05T01:26:00.879+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-05T01:26:00.883+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=15, Name=packaged seafood, FK Values={}
[2024-12-05T01:26:00.886+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=16, Name=fresh herbs, FK Values={}
[2024-12-05T01:26:00.889+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=17, Name=baking ingredients, FK Values={}
[2024-12-05T01:26:00.893+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-05T01:26:00.896+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=19, Name=oils vinegars, FK Values={}
[2024-12-05T01:26:00.898+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=20, Name=oral hygiene, FK Values={}
[2024-12-05T01:26:00.901+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=21, Name=packaged cheese, FK Values={}
[2024-12-05T01:26:00.903+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=22, Name=hair care, FK Values={}
[2024-12-05T01:26:00.907+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=23, Name=popcorn jerky, FK Values={}
