[2024-12-05T01:33:45.085+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T01:33:45.103+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:33:38.929247+00:00 [queued]>
[2024-12-05T01:33:45.114+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:33:38.929247+00:00 [queued]>
[2024-12-05T01:33:45.115+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T01:33:45.134+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-05 01:33:38.929247+00:00
[2024-12-05T01:33:45.149+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3167) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-05T01:33:45.151+0000] {standard_task_runner.py:72} INFO - Started process 3176 to run task
[2024-12-05T01:33:45.151+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_etl_pipeline', 'etl_dim_aisle', 'manual__2024-12-05T01:33:38.929247+00:00', '--job-id', '348', '--raw', '--subdir', 'DAGS_FOLDER/instacart_etl_dag.py', '--cfg-path', '/tmp/tmp4dobkhx_']
[2024-12-05T01:33:45.153+0000] {standard_task_runner.py:105} INFO - Job 348: Subtask etl_dim_aisle
[2024-12-05T01:33:45.216+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_etl_pipeline.etl_dim_aisle manual__2024-12-05T01:33:38.929247+00:00 [running]> on host f9e7195a95b4
[2024-12-05T01:33:45.335+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_etl_pipeline' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T01:33:38.929247+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T01:33:38.929247+00:00'
[2024-12-05T01:33:45.336+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T01:33:45.382+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-05T01:33:45.570+0000] {logging_mixin.py:190} INFO - Initial DataFrame from /opt/***/data/aisles.csv/aisles.csv:
   aisle_id                       aisle
0         1       prepared soups salads
1         2           specialty cheeses
2         3         energy granola bars
3         4               instant foods
4         5  marinades meat preparation
[2024-12-05T01:33:45.572+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-05T01:33:45.613+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-05T01:33:45.617+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=3, Name=energy granola bars, FK Values={}
[2024-12-05T01:33:45.621+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=4, Name=instant foods, FK Values={}
[2024-12-05T01:33:45.631+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-05T01:33:45.637+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=6, Name=other, FK Values={}
[2024-12-05T01:33:45.642+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=7, Name=packaged meat, FK Values={}
[2024-12-05T01:33:45.650+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=8, Name=bakery desserts, FK Values={}
[2024-12-05T01:33:45.655+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=9, Name=pasta sauce, FK Values={}
[2024-12-05T01:33:45.665+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-05T01:33:45.672+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-05T01:33:45.679+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=12, Name=fresh pasta, FK Values={}
[2024-12-05T01:33:45.685+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=13, Name=prepared meals, FK Values={}
[2024-12-05T01:33:45.696+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-05T01:33:45.707+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=15, Name=packaged seafood, FK Values={}
[2024-12-05T01:33:45.715+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=16, Name=fresh herbs, FK Values={}
[2024-12-05T01:33:45.721+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=17, Name=baking ingredients, FK Values={}
[2024-12-05T01:33:45.728+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-05T01:33:45.734+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=19, Name=oils vinegars, FK Values={}
[2024-12-05T01:33:45.739+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=20, Name=oral hygiene, FK Values={}
[2024-12-05T01:33:45.745+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=21, Name=packaged cheese, FK Values={}
[2024-12-05T01:33:45.765+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=22, Name=hair care, FK Values={}
[2024-12-05T01:33:45.771+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=23, Name=popcorn jerky, FK Values={}
