[2024-12-05T21:47:40.127+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T21:47:40.156+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-05T21:47:32.455034+00:00 [queued]>
[2024-12-05T21:47:40.175+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-05T21:47:32.455034+00:00 [queued]>
[2024-12-05T21:47:40.176+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-05T21:47:40.208+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-05 21:47:32.455034+00:00
[2024-12-05T21:47:40.221+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=816) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-05T21:47:40.224+0000] {standard_task_runner.py:72} INFO - Started process 820 to run task
[2024-12-05T21:47:40.222+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_pl', 'etl_dim_aisle', 'manual__2024-12-05T21:47:32.455034+00:00', '--job-id', '623', '--raw', '--subdir', 'DAGS_FOLDER/test_etl_dag.py', '--cfg-path', '/tmp/tmpwj5m0uk9']
[2024-12-05T21:47:40.243+0000] {standard_task_runner.py:105} INFO - Job 623: Subtask etl_dim_aisle
[2024-12-05T21:47:40.360+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-05T21:47:32.455034+00:00 [running]> on host 6981f293c464
[2024-12-05T21:47:40.516+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_pl' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T21:47:32.455034+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T21:47:32.455034+00:00'
[2024-12-05T21:47:40.517+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T21:47:40.560+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-05T21:47:40.780+0000] {logging_mixin.py:190} INFO - Initial DataFrame from /opt/***/data/aisles.csv/aisles.csv:
   aisle_id                       aisle
0         1       prepared soups salads
1         2           specialty cheeses
2         3         energy granola bars
3         4               instant foods
4         5  marinades meat preparation
[2024-12-05T21:47:40.782+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-05T21:47:40.840+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-05T21:47:40.844+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=3, Name=energy granola bars, FK Values={}
[2024-12-05T21:47:40.847+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=4, Name=instant foods, FK Values={}
[2024-12-05T21:47:40.851+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-05T21:47:40.857+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=6, Name=other, FK Values={}
[2024-12-05T21:47:40.861+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=7, Name=packaged meat, FK Values={}
[2024-12-05T21:47:40.865+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=8, Name=bakery desserts, FK Values={}
[2024-12-05T21:47:40.869+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=9, Name=pasta sauce, FK Values={}
[2024-12-05T21:47:40.875+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-05T21:47:40.878+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-05T21:47:40.882+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=12, Name=fresh pasta, FK Values={}
[2024-12-05T21:47:40.885+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=13, Name=prepared meals, FK Values={}
[2024-12-05T21:47:40.891+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-05T21:47:40.895+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=15, Name=packaged seafood, FK Values={}
[2024-12-05T21:47:40.898+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=16, Name=fresh herbs, FK Values={}
[2024-12-05T21:47:40.902+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=17, Name=baking ingredients, FK Values={}
[2024-12-05T21:47:40.908+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-05T21:47:40.913+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=19, Name=oils vinegars, FK Values={}
[2024-12-05T21:47:40.918+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=20, Name=oral hygiene, FK Values={}
[2024-12-05T21:47:40.924+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=21, Name=packaged cheese, FK Values={}
[2024-12-05T21:47:40.928+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=22, Name=hair care, FK Values={}
[2024-12-05T21:47:40.932+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=23, Name=popcorn jerky, FK Values={}
[2024-12-05T21:47:40.939+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=24, Name=fresh fruits, FK Values={}
[2024-12-05T21:47:40.943+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=25, Name=soap, FK Values={}
[2024-12-05T21:47:40.946+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=26, Name=coffee, FK Values={}
[2024-12-05T21:47:40.951+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=27, Name=beers coolers, FK Values={}
[2024-12-05T21:47:40.957+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=28, Name=red wines, FK Values={}
[2024-12-05T21:47:40.961+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=29, Name=honeys syrups nectars, FK Values={}
[2024-12-05T21:47:40.964+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=30, Name=latino foods, FK Values={}
[2024-12-05T21:47:40.968+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=31, Name=refrigerated, FK Values={}
[2024-12-05T21:47:40.974+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=32, Name=packaged produce, FK Values={}
[2024-12-05T21:47:40.979+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=33, Name=kosher foods, FK Values={}
[2024-12-05T21:47:40.982+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=34, Name=frozen meat seafood, FK Values={}
[2024-12-05T21:47:40.989+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=35, Name=poultry counter, FK Values={}
[2024-12-05T21:47:40.994+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=36, Name=butter, FK Values={}
[2024-12-05T21:47:40.999+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=37, Name=ice cream ice, FK Values={}
[2024-12-05T21:47:41.005+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=38, Name=frozen meals, FK Values={}
[2024-12-05T21:47:41.009+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=39, Name=seafood counter, FK Values={}
[2024-12-05T21:47:41.012+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=40, Name=dog food care, FK Values={}
[2024-12-05T21:47:41.015+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=41, Name=cat food care, FK Values={}
[2024-12-05T21:47:41.021+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=42, Name=frozen vegan vegetarian, FK Values={}
[2024-12-05T21:47:41.026+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=43, Name=buns rolls, FK Values={}
[2024-12-05T21:47:41.031+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=44, Name=eye ear care, FK Values={}
[2024-12-05T21:47:41.038+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=45, Name=candy chocolate, FK Values={}
[2024-12-05T21:47:41.044+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=46, Name=mint gum, FK Values={}
[2024-12-05T21:47:41.048+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=47, Name=vitamins supplements, FK Values={}
[2024-12-05T21:47:41.054+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=48, Name=breakfast bars pastries, FK Values={}
[2024-12-05T21:47:41.059+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=49, Name=packaged poultry, FK Values={}
[2024-12-05T21:47:41.064+0000] {logging_mixin.py:190} INFO - Preparing to insert: ID=50, Name=fruit vegetable snacks, FK Values={}
