[2024-12-11T11:02:42.748+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-11T11:02:42.796+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-11T11:02:40.658719+00:00 [queued]>
[2024-12-11T11:02:42.822+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-11T11:02:40.658719+00:00 [queued]>
[2024-12-11T11:02:42.823+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-11T11:02:42.854+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): etl_dim_aisle> on 2024-12-11 11:02:40.658719+00:00
[2024-12-11T11:02:42.880+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1814) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-11T11:02:42.885+0000] {standard_task_runner.py:72} INFO - Started process 1819 to run task
[2024-12-11T11:02:42.880+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'instacart_pl', 'etl_dim_aisle', 'manual__2024-12-11T11:02:40.658719+00:00', '--job-id', '126', '--raw', '--subdir', 'DAGS_FOLDER/test_etl_dag.py', '--cfg-path', '/tmp/tmpt3b737fd']
[2024-12-11T11:02:42.892+0000] {standard_task_runner.py:105} INFO - Job 126: Subtask etl_dim_aisle
[2024-12-11T11:02:42.978+0000] {task_command.py:467} INFO - Running <TaskInstance: instacart_pl.etl_dim_aisle manual__2024-12-11T11:02:40.658719+00:00 [running]> on host 751be410a86b
[2024-12-11T11:02:43.137+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='instacart_pl' AIRFLOW_CTX_TASK_ID='etl_dim_aisle' AIRFLOW_CTX_EXECUTION_DATE='2024-12-11T11:02:40.658719+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-11T11:02:40.658719+00:00'
[2024-12-11T11:02:43.140+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-11T11:02:43.174+0000] {base.py:84} INFO - Retrieving connection 'mssql_default'
[2024-12-11T11:02:43.263+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=1, Name=prepared soups salads, FK Values={}
[2024-12-11T11:02:43.273+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=2, Name=specialty cheeses, FK Values={}
[2024-12-11T11:02:43.275+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=3, Name=energy granola bars, FK Values={}
[2024-12-11T11:02:43.278+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=4, Name=instant foods, FK Values={}
[2024-12-11T11:02:43.281+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=5, Name=marinades meat preparation, FK Values={}
[2024-12-11T11:02:43.284+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=6, Name=other, FK Values={}
[2024-12-11T11:02:43.293+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=7, Name=packaged meat, FK Values={}
[2024-12-11T11:02:43.304+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=8, Name=bakery desserts, FK Values={}
[2024-12-11T11:02:43.320+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=9, Name=pasta sauce, FK Values={}
[2024-12-11T11:02:43.331+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=10, Name=kitchen supplies, FK Values={}
[2024-12-11T11:02:43.336+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=11, Name=cold flu allergy, FK Values={}
[2024-12-11T11:02:43.342+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=12, Name=fresh pasta, FK Values={}
[2024-12-11T11:02:43.347+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=13, Name=prepared meals, FK Values={}
[2024-12-11T11:02:43.358+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=14, Name=tofu meat alternatives, FK Values={}
[2024-12-11T11:02:43.363+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=15, Name=packaged seafood, FK Values={}
[2024-12-11T11:02:43.368+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=16, Name=fresh herbs, FK Values={}
[2024-12-11T11:02:43.373+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=17, Name=baking ingredients, FK Values={}
[2024-12-11T11:02:43.377+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=18, Name=bulk dried fruits vegetables, FK Values={}
[2024-12-11T11:02:43.380+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=19, Name=oils vinegars, FK Values={}
[2024-12-11T11:02:43.384+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=20, Name=oral hygiene, FK Values={}
[2024-12-11T11:02:43.389+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=21, Name=packaged cheese, FK Values={}
[2024-12-11T11:02:43.393+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=22, Name=hair care, FK Values={}
[2024-12-11T11:02:43.398+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=23, Name=popcorn jerky, FK Values={}
[2024-12-11T11:02:43.404+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=24, Name=fresh fruits, FK Values={}
[2024-12-11T11:02:43.409+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=25, Name=soap, FK Values={}
[2024-12-11T11:02:43.413+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=26, Name=coffee, FK Values={}
[2024-12-11T11:02:43.417+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=27, Name=beers coolers, FK Values={}
[2024-12-11T11:02:43.422+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=28, Name=red wines, FK Values={}
[2024-12-11T11:02:43.426+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=29, Name=honeys syrups nectars, FK Values={}
[2024-12-11T11:02:43.430+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=30, Name=latino foods, FK Values={}
[2024-12-11T11:02:43.437+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=31, Name=refrigerated, FK Values={}
[2024-12-11T11:02:43.442+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=32, Name=packaged produce, FK Values={}
[2024-12-11T11:02:43.446+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=33, Name=kosher foods, FK Values={}
[2024-12-11T11:02:43.449+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=34, Name=frozen meat seafood, FK Values={}
[2024-12-11T11:02:43.455+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=35, Name=poultry counter, FK Values={}
[2024-12-11T11:02:43.458+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=36, Name=butter, FK Values={}
[2024-12-11T11:02:43.461+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=37, Name=ice cream ice, FK Values={}
[2024-12-11T11:02:43.463+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=38, Name=frozen meals, FK Values={}
[2024-12-11T11:02:43.466+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=39, Name=seafood counter, FK Values={}
[2024-12-11T11:02:43.471+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=40, Name=dog food care, FK Values={}
[2024-12-11T11:02:43.474+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=41, Name=cat food care, FK Values={}
[2024-12-11T11:02:43.477+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=42, Name=frozen vegan vegetarian, FK Values={}
[2024-12-11T11:02:43.480+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=43, Name=buns rolls, FK Values={}
[2024-12-11T11:02:43.484+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=44, Name=eye ear care, FK Values={}
[2024-12-11T11:02:43.489+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=45, Name=candy chocolate, FK Values={}
[2024-12-11T11:02:43.492+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=46, Name=mint gum, FK Values={}
[2024-12-11T11:02:43.495+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=47, Name=vitamins supplements, FK Values={}
[2024-12-11T11:02:43.498+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=48, Name=breakfast bars pastries, FK Values={}
[2024-12-11T11:02:43.504+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=49, Name=packaged poultry, FK Values={}
[2024-12-11T11:02:43.507+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=50, Name=fruit vegetable snacks, FK Values={}
[2024-12-11T11:02:43.510+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=51, Name=preserved dips spreads, FK Values={}
[2024-12-11T11:02:43.513+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=52, Name=frozen breakfast, FK Values={}
[2024-12-11T11:02:43.516+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=53, Name=cream, FK Values={}
[2024-12-11T11:02:43.522+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=54, Name=paper goods, FK Values={}
[2024-12-11T11:02:43.527+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=55, Name=shave needs, FK Values={}
[2024-12-11T11:02:43.530+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=56, Name=diapers wipes, FK Values={}
[2024-12-11T11:02:43.534+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=57, Name=granola, FK Values={}
[2024-12-11T11:02:43.540+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=58, Name=frozen breads doughs, FK Values={}
[2024-12-11T11:02:43.543+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=59, Name=canned meals beans, FK Values={}
[2024-12-11T11:02:43.546+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=60, Name=trash bags liners, FK Values={}
[2024-12-11T11:02:43.549+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=61, Name=cookies cakes, FK Values={}
[2024-12-11T11:02:43.554+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=62, Name=white wines, FK Values={}
[2024-12-11T11:02:43.556+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=63, Name=grains rice dried goods, FK Values={}
[2024-12-11T11:02:43.559+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=64, Name=energy sports drinks, FK Values={}
[2024-12-11T11:02:43.562+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=65, Name=protein meal replacements, FK Values={}
[2024-12-11T11:02:43.565+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=66, Name=asian foods, FK Values={}
[2024-12-11T11:02:43.570+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=67, Name=fresh dips tapenades, FK Values={}
[2024-12-11T11:02:43.573+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=68, Name=bulk grains rice dried goods, FK Values={}
[2024-12-11T11:02:43.576+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=69, Name=soup broth bouillon, FK Values={}
[2024-12-11T11:02:43.579+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=70, Name=digestion, FK Values={}
[2024-12-11T11:02:43.583+0000] {logging_mixin.py:190} INFO - Preparing to handle row: ID=71, Name=refrigerated pudding desserts, FK Values={}
